Experiment ID,Action Start Time,Action End Time,Template Id,Action Name,Target Type,Target
EXPAytUS94yEwyz1Rk,2024-05-20T14:47:40.479Z,2024-05-20T14:52:41.249Z,EXTB2pHdrhpXiftNL,network-latency,node,node1
EXPYbVMgXd1QyPsSjC,2024-05-20T14:15:39.162Z,2024-05-20T14:20:40.378Z,EXTZLGsnaKkLVGVW,io-stress,node,node1
EXP3ybewJAuQjFGn34,2024-05-20T12:47:59.446Z,2024-05-20T12:52:07.973Z,EXT5BdSTt7r9sAUBi,CPU-stress,pod,session-db-76d658cbf8-5c62q||session-db
EXPWqqyDaA6K4T7Lq8,2024-05-20T12:21:37.375Z,2024-05-20T12:25:37.689Z,EXTnczrYYHNTBaek,memory-stress,node,node1
EXPrpZM2Lz5SLCuADQ,2024-05-20T11:22:57.507Z,2024-05-20T11:28:28.804Z,EXTbTLa7B6pDaQ6U,io-stress,pod,user-db-5bfb568f5b-g6nxs||user-db
EXPJHyMBmVw4ped8ga,2024-05-20T11:07:35.396Z,2024-05-20T11:11:36.053Z,EXTnczrYYHNTBaek,memory-stress,node,node1
EXP7ig9mEy2YqQiD6S,2024-05-20T09:52:55.833Z,2024-05-20T09:58:27.054Z,EXTbTLa7B6pDaQ6U,io-stress,pod,shipping-7b856bf556-hwhz7||shipping
EXP3f5HZVe55MJEM86,2024-05-20T07:31:54.916Z,2024-05-20T07:36:24.193Z,EXTgKCx1sc8C4qn,memory-stress,pod,carts-db-844f99fb7d-vg5hb||carts-db
EXPDqEJCeTud1J1yqt,2024-05-20T06:12:54.002Z,2024-05-20T06:18:25.066Z,EXT33u1fchVud2aR6,network-latency,pod,orders-779f959dc4-mncds||orders
EXPJaCgickxL44zKQE,2024-05-20T05:57:52.853Z,2024-05-20T06:03:05.394Z,EXTbTLa7B6pDaQ6U,io-stress,pod,front-end-7899799bbd-v5wfb||front-end
EXPabg1y2Rki4GGFKG,2024-05-20T04:16:51.789Z,2024-05-20T04:21:20.108Z,EXTgKCx1sc8C4qn,memory-stress,pod,orders-779f959dc4-mncds||orders
EXPjmj1M8apezfQkCa,2024-05-20T03:47:49.802Z,2024-05-20T03:50:14.290Z,EXTsERjQFrbkwqJ,packet-loss,pod,shipping-7b856bf556-hwhz7||shipping
EXPpG8x3z57Dpy7YDY,2024-05-20T03:46:50.344Z,2024-05-20T03:47:11.166Z,EXTiBq1RJdkf36x,delete-pod,pod,payment-67f94cc7b8-zj4xs||payment
EXP6NUVykfpnHee1Aa,2024-05-20T03:10:49.003Z,2024-05-20T03:16:19.753Z,EXTbTLa7B6pDaQ6U,io-stress,pod,queue-master-cc96b5649-tc5bd||queue-master
EXP3kgFNcdYAKLzuez,2024-05-20T00:24:48.452Z,2024-05-20T00:25:09.313Z,EXTiBq1RJdkf36x,delete-pod,pod,orders-779f959dc4-rr9ss||orders
EXP224jEvs2bnGXEpbk,2024-05-19T18:25:47.713Z,2024-05-19T18:30:17Z,EXT5BdSTt7r9sAUBi,CPU-stress,pod,user-745766f4f8-2g8kd||user
EXPErTJ8C8cCpA59k,2024-05-19T16:51:24.773Z,2024-05-19T16:55:24.441Z,EXT2mSwfM8CXpaRN,cpu-stress,node,node5
EXP23zkBoEKjTcSuntJ,2024-05-19T16:19:23.950Z,2024-05-19T16:21:24.438Z,EXT3pkVmbtVoeukC,packet-loss,node,node2
EXPzNSNkQL7fFmWsLe,2024-05-19T15:04:23.124Z,2024-05-19T15:09:23.848Z,EXTB2pHdrhpXiftNL,network-latency,node,node5
EXPwDTkc2j9xo5bpZQ,2024-05-19T14:21:21.989Z,2024-05-19T14:25:22.600Z,EXTnczrYYHNTBaek,memory-stress,node,node3
EXPZNtF8SUTL2xwRwg,2024-05-19T05:44:21.207Z,2024-05-19T05:44:21.824Z,EXT29tXmuMjvHYmZS,node-reboot,node,node1
EXP24AvsKnFqzp7DnyY,2024-05-19T04:56:19.960Z,2024-05-19T05:00:19.848Z,EXTnczrYYHNTBaek,memory-stress,node,node5
EXPCW8UWoG2fkS8jog,2024-05-19T04:23:19.336Z,2024-05-19T04:27:19.981Z,EXT2mSwfM8CXpaRN,cpu-stress,node,node3
EXPTbvFixs62ad6Yre,2024-05-19T03:37:18.036Z,2024-05-19T03:42:18.822Z,EXTZLGsnaKkLVGVW,io-stress,node,node3
EXPAyD2Y9mtfuJAyhU,2024-05-19T01:50:36.942Z,2024-05-19T01:55:47.373Z,EXTbTLa7B6pDaQ6U,io-stress,pod,shipping-7b856bf556-hwhz7||shipping
EXPj2vZ9V8qyE1qX6A,2024-05-19T00:22:37.212Z,2024-05-19T00:25:01.622Z,EXTsERjQFrbkwqJ,packet-loss,pod,user-db-5bfb568f5b-g6nxs||user-db
EXPMujduyQ4LaQzWy8,2024-05-19T00:12:35.715Z,2024-05-19T00:17:04.406Z,EXTgKCx1sc8C4qn,memory-stress,pod,session-db-76d658cbf8-5c62q||session-db
EXPtFSSPrwFW9Wp4KU,2024-05-19T00:03:35.145Z,2024-05-19T00:08:03.582Z,EXTgKCx1sc8C4qn,memory-stress,pod,carts-db-844f99fb7d-vg5hb||carts-db
EXPqB61i6JKuJrWWSE,2024-05-18T23:46:33.877Z,2024-05-18T23:51:03.489Z,EXT5BdSTt7r9sAUBi,CPU-stress,pod,user-db-5bfb568f5b-g6nxs||user-db
EXPYF5odWEnVqCkn4S,2024-05-18T23:32:32.105Z,2024-05-18T23:38:03.141Z,EXT33u1fchVud2aR6,network-latency,pod,rabbitmq-5c6f77d9dd-2d794||rabbitmq
EXPCBXZ4cFBpH3YWrW,2024-05-18T22:48:32.066Z,2024-05-18T22:53:00.429Z,EXTgKCx1sc8C4qn,memory-stress,pod,user-db-5bfb568f5b-g6nxs||user-db
EXPgy1iQ5iNfejB6Je,2024-05-18T21:54:10.050Z,2024-05-18T21:59:10.729Z,EXTB2pHdrhpXiftNL,network-latency,node,node4
EXPNWERZXaMw27DmZt,2024-05-18T21:31:09.419Z,2024-05-18T21:35:09.750Z,EXT2mSwfM8CXpaRN,cpu-stress,node,node1
EXPByW3MpYF915MNfL,2024-05-18T21:05:08.922Z,2024-05-18T21:10:09.359Z,EXTB2pHdrhpXiftNL,network-latency,node,node4
EXP3ShiP1Dby1BEjeJ,2024-05-18T17:03:28.846Z,2024-05-18T17:07:57.751Z,EXT5BdSTt7r9sAUBi,CPU-stress,pod,rabbitmq-5c6f77d9dd-2d794||rabbitmq
EXPxhKdHPh7yMA8cNn,2024-05-18T16:16:27.310Z,2024-05-18T16:20:59.213Z,EXT5BdSTt7r9sAUBi,CPU-stress,pod,user-745766f4f8-2g8kd||user
EXP4UtCnKmy4VxGTna,2024-05-18T15:56:05.450Z,2024-05-18T16:01:05.826Z,EXTB2pHdrhpXiftNL,network-latency,node,node4
EXPNtw5QFGr9DcV3Ye,2024-05-18T15:31:25.465Z,2024-05-18T15:35:54.485Z,EXTgKCx1sc8C4qn,memory-stress,pod,front-end-7899799bbd-v5wfb||front-end
EXPRWYNP7enoYUcnYa,2024-05-18T14:51:24.918Z,2024-05-18T14:55:56.218Z,EXTgKCx1sc8C4qn,memory-stress,pod,user-745766f4f8-2g8kd||user
